article:ID;author:string[];author-aux:string;author-orcid:string[];booktitle:string;cdate:date;cdrom:string;cite:string[];cite-label:string[];crossref:string;editor:string[];editor-orcid:string[];ee:string[];ee-type:string[];i:string[];journal:string;key:string;mdate:date;month:string;note:string[];note-label:string;note-type:string[];number:string;pages:string;publisher:string;publnr:string;publtype:string;sub:string[];sup:string[];title:string;title-bibtex:string;tt:string[];url:string;volume:string;year:int
64177;Hamed Sadeghi|Shahram Shirani|Shahrokh Valaee;;;;;;;;;;;https://doi.org/10.1109/TVT.2016.2615630;;;IEEE Trans. Veh. Technol.;journals/tvt/SadeghiVS17;2020-06-25;;;;;6;4678-4690;;;;;;2DTriPnP: A Robust Two-Dimensional Method for Fine Visual Localization Using Google Streetview Database.;;;db/journals/tvt/tvt66.html#SadeghiVS17;66;2017
73720;Cornelia Lawson|Hanna Hottenrott|Michael Rose;;0000-0002-1262-5142|0000-0002-1584-8106|0000-0002-4128-4236;;;;;;;;;https://doi.org/10.1002/asi.24472;;;J. Assoc. Inf. Sci. Technol.;journals/jasis/HottenrottRL21;2021-11-03;;;;;8;1039-1058;;;;;;The rise of multiple institutional affiliations in academia.;;;db/journals/jasis/jasis72.html#HottenrottRL21;72;2021
76761;Philip M. Davis;;;;;;;;;;;https://doi.org/10.1002/asi.20965;;;J. Assoc. Inf. Sci. Technol.;journals/jasis/Davis09;2020-03-02;;;;;1;3-8;;;;;;Author-choice open-access publishing in the biological and medical literature: A citation analysis.;;;db/journals/jasis/jasis60.html#Davis09;60;2009
77841;Edwin A. Henneken|Michael J. Kurtz;;0000-0002-6949-0090|0000-0003-4264-2450;;;;;;;;;https://doi.org/10.1002/asi.23689;;;J. Assoc. Inf. Sci. Technol.;journals/jasis/KurtzH17;2020-03-02;;;;;3;695-708;;;;;;Measuring metrics - a 40-year longitudinal cross-validation of citations, downloads, and peer review in astrophysics.;;;db/journals/jasis/jasis68.html#KurtzH17;68;2017
79377;Anita Coleman;;;;;;;;;;;https://doi.org/10.1002/asi.20599;;;J. Assoc. Inf. Sci. Technol.;journals/jasis/Coleman07a;2020-03-02;;;;;8;1148-1161;;;;;;Assessing the value of a journal beyond the impact factor.;;;db/journals/jasis/jasis58.html#Coleman07a;58;2007
79972;Kesha Hietala|Michael Hicks 0001|Mingsheng Ying|Shaopeng Zhu|Shih-Han Hung|Xiaodi Wu;;0000-0002-2724-0974|0000-0003-4847-702X;;;;;;;;;https://doi.org/10.1145/3290344;oa;;Proc. ACM Program. Lang.;journals/pacmpl/HungHZYHW19;2021-02-17;;;;;POPL;31:1-31:29;;;;;;Quantitative robustness analysis of quantum programs.;;;db/journals/pacmpl/pacmpl3.html#HungHZYHW19;3;2019
87123;A. H. El-Baz|Ahmad Said Tolba;;;;;;;;;;;https://doi.org/10.1007/s00521-012-0844-2;;;Neural Comput. Appl.;journals/nca/El-BazT13;2020-09-10;;;;;7-8;1477-1484;;;;;;An efficient algorithm for 3D hand gesture recognition using combined neural classifiers.;;;db/journals/nca/nca22.html#El-BazT13;22;2013
87316;Adil Khan 0002|Aleksei Grigorev|Feng Jiang 0001|Seungmin Rho|Shaohui Liu|Worku Jifara Sori|Yunsheng Fu|Zhihong Tian;;0000-0002-1810-5412|0000-0003-2862-5718;;;;;;;;;https://doi.org/10.1007/s00521-017-3158-6;;;Neural Comput. Appl.;journals/nca/JiangGRTFSKL18;2020-09-10;;;;;5;1257-1265;;;;;;Medical image semantic segmentation based on deep learning.;;;db/journals/nca/nca29.html#JiangGRTFSKL18;29;2018
92189;Odai S. Salman|Ran Klein;;;;;;;;;;;https://doi.org/10.1007/s00521-020-04923-6;;;Neural Comput. Appl.;journals/nca/SalmanK20;2020-11-19;;;;;23;17519-17531;;;;;;Anatomical region identification in medical X-ray computed tomography (CT) scans: development and comparison of alternative data analysis and vision-based methods.;;;db/journals/nca/nca32.html#SalmanK20;32;2020
94427;Clemens Puppe|Klaus Nehring;;;;;;;;;;;https://doi.org/10.1016/S1571-0653(04)00040-X;;;Electron. Notes Discret. Math.;journals/endm/NehringP99;2020-02-20;;;;;;180-181;;;;;;A Theory of Diversity.;;;db/journals/endm/endm2.html#NehringP99;2;1999
95255;Lluís Vena|Oriol Serra;;0000-0001-8561-4631|0000-0002-0075-3673;;;;;;;;;https://doi.org/10.1016/j.endm.2011.10.030;;;Electron. Notes Discret. Math.;journals/endm/SerraV11;2020-02-20;;;;;;777-781;;;;;;On the number of monochromatic solutions of integer linear systems on Abelian groups.;;;db/journals/endm/endm38.html#SerraV11;38;2011
96305;Toby Berger|Vladimir I. Levenshtein;;;;;;;;;;;https://doi.org/10.1016/S1571-0653(04)00204-5;;;Electron. Notes Discret. Math.;journals/endm/BergerL01;2020-02-20;;;;;;518-527;;;;;;Application of cover-free codes and combinatorial designs to two-stage testing.;;;db/journals/endm/endm6.html#BergerL01;6;2001
98978;Dariush Abbasinezhad-Mood|Morteza Nikooghadam;;0000-0003-3894-3103|0000-0003-4943-1154;;;;;;;;;https://doi.org/10.1016/j.jisa.2018.02.007;;;J. Inf. Secur. Appl.;journals/istr/Abbasinezhad-Mood18;2020-03-04;;;;;;9-19;;;;;;Design of an enhanced message authentication scheme for smart grid and its performance analysis on an ARM Cortex-M3 microcontroller.;;;db/journals/istr/istr40.html#Abbasinezhad-Mood18;40;2018
99474;Constantinos Markantonakis;;;;;;;;;;;https://doi.org/10.1016/S0167-4048(98)80008-3;;;Inf. Secur. Tech. Rep.;journals/istr/Markantonakis98;2020-05-18;;;;;2;82-89;;;;;;Java card technology and security.;;;db/journals/istr/istr3.html#Markantonakis98;3;1998
99615;Yvo Desmedt;;;;;;;;;;;https://doi.org/10.1016/S1363-4127(02)02003-4;;;Inf. Secur. Tech. Rep.;journals/istr/Desmedt02;2020-05-18;;;;;2;11-21;;;;;;Is there a Need for Survivable Computation in Critical Infrastructures?;;;db/journals/istr/istr7.html#Desmedt02;7;2002
100220;Kostas Skandalis;;;;;;;;;;;https://doi.org/10.3233/FI-1994-2045;;;Fundam. Informaticae;journals/fuin/Skandalis94;2020-09-18;;;;;4;381-392;;;;;;On the Characterization of Input Sets as Output Sets.;;;db/journals/fuin/fuin20.html#Skandalis94;20;1994
101584;Petr Kurka;;;;;;;;;;;http://content.iospress.com/articles/fundamenta-informaticae/fi58-3-4-02;;;Fundam. Informaticae;journals/fuin/Kurka03;2020-09-18;;;;;2003;203-221;;;;;;Cellular automata with vanishing particles.;;;db/journals/fuin/fuin58.html#Kurka03;58;2003
102804;Zbigniew Suraj;;;;;;;;;;;http://content.iospress.com/articles/fundamenta-informaticae/fi61-2-01;;;Fundam. Informaticae;journals/fuin/Suraj04;2020-09-18;;;;;2;;;;;;;Preface.;;;db/journals/fuin/fuin61.html#Suraj04;61;2004
105452;Ming-Huwi Horng|Ren-Jean Liou;;;;;;;;;;;https://doi.org/10.1016/j.eswa.2011.05.069;;;Expert Syst. Appl.;journals/eswa/HorngL11;2017-05-26;;;;;12;14805-14811;;;;;;Multilevel minimum cross entropy threshold selection based on the firefly algorithm.;;;db/journals/eswa/eswa38.html#HorngL11;38;2011
108308;George Azzopardi|Joshua Ellul|Steven Farrugia;;0000-0001-6552-2596|0000-0002-4796-5665;;;;;;;;;https://doi.org/10.1016/j.eswa.2020.113318;;;Expert Syst. Appl.;journals/eswa/FarrugiaEA20;2020-06-15;;;;;;113318;;;;;;Detection of illicit accounts over the Ethereum blockchain.;;;db/journals/eswa/eswa150.html#FarrugiaEA20;150;2020
111725;Gwo-Hshiung Tzeng|Hui-Pang Lien|Yi-Chun Chen;;0000-0003-1856-7497;;;;;;;;;https://doi.org/10.1016/j.eswa.2009.04.068;;;Expert Syst. Appl.;journals/eswa/ChenLT10;2017-06-06;;;;;2;926-938;;;;;;Measures and evaluation for environment watershed plans using a novel hybrid MCDM model.;;;db/journals/eswa/eswa37.html#ChenLT10;37;2010
112059;Cengiz Kahraman|Ihsan Kaya;;0000-0002-0142-4257;;;;;;;;;https://doi.org/10.1016/j.eswa.2009.12.049;;;Expert Syst. Appl.;journals/eswa/KayaK10;2019-09-25;;;;;6;4593-4600;;;;;;A new perspective on fuzzy process capability indices: Robustness.;;;db/journals/eswa/eswa37.html#KayaK10;37;2010
112985;Chen-Hao Liu|Pei-Chann Chang|Shih-Hsin Chen;;0000-0002-9900-3513;;;;;;;;;https://doi.org/10.1016/j.eswa.2006.06.019;;;Expert Syst. Appl.;journals/eswa/ChangCL07;2017-06-06;;;;;3;762-771;;;;;;Sub-population genetic algorithm with mining gene structures for multiobjective flowshop scheduling problems.;;;db/journals/eswa/eswa33.html#ChangCL07;33;2007
119682;Shao-Wei Yen|Tong-Yee Lee;;;;;;;;;;;https://doi.org/10.1504/IJCSE.2007.014466;;;Int. J. Comput. Sci. Eng.;journals/ijcse/LeeY07;2020-07-30;;;;;1;71-79;;;;;;Texture mapping on 3D surfaces using clustering-based cutting paths.;;;db/journals/ijcse/ijcse3.html#LeeY07;3;2007
123907;Anupkumar Pandey|Brijesh Shah|Gaurav Dalwadi|Hardip K. Shah|Nikhil Kothari;;0000-0002-4451-4420|0000-0002-6088-2493|0000-0003-1313-2187|0000-0003-2734-8974|0000-0003-4704-0803;;;;;;;;;https://doi.org/10.1002/dac.4200;;;Int. J. Commun. Syst.;journals/ijcomsys/ShahDPSK20;2020-07-30;;;;;3;;;;;;;Online CQI-based optimization using k-means and machine learning approach under sparse system knowledge.;;;db/journals/ijcomsys/ijcomsys33.html#ShahDPSK20;33;2020
125353;Allam Mousa|Hala M. Mahmoud;;0000-0001-6413-1622;;;;;;;;;https://doi.org/10.1002/dac.1138;;;Int. J. Commun. Syst.;journals/ijcomsys/MousaM11;2020-07-30;;;;;1;53-61;;;;;;Reducing ICI effect in OFDM system using low-complexity Kalman filter based on comb-type pilots arrangement.;;;db/journals/ijcomsys/ijcomsys24.html#MousaM11;24;2011
129016;Dorin Carstoiu|Elena Lepadatu|Mihai Gaspar;;;;;;;;;;;http://www.aicit.org/ijact/ppl/04_IJACT2-199028IP.pdf;archive;;Int. J. Adv. Comp. Techn.;journals/ijact-aicit/CarstoiuLG10;2019-09-13;;;;;5;42-52;;;;;;Hbase - non SQL Database, Performances Evaluation.;;;db/journals/ijact-aicit/ijact-aicit2.html#CarstoiuLG10;2;2010
136438;Frank L. Lewis|Geok Hong Phua|Jinwen Hu|Leck Leng Aw|Oon Peen Gan;;;;;;;;;;;https://doi.org/10.1109/TIE.2014.2314068;;;IEEE Trans. Ind. Electron.;journals/tie/HuLGPA14;2020-05-22;;;;;12;7083-7091;;;;;;Discrete-Event Shop-Floor Monitoring System in RFID-Enabled Manufacturing.;;;db/journals/tie/tie61.html#HuLGPA14;61;2014
137749;Panfeng Huang|Zhengxiong Liu|Zhenyu Lu;;0000-0002-5446-7285;;;;;;;;;https://doi.org/10.1109/TIE.2017.2745445;;;IEEE Trans. Ind. Electron.;journals/tie/LuHL18;2020-05-22;;;;;3;2439-2448;;;;;;Predictive Approach for Sensorless Bimanual Teleoperation Under Random Time Delays With Adaptive Fuzzy Control.;;;db/journals/tie/tie65.html#LuHL18;65;2018
143056;Fuxin Liu|Xinbo Ruan;;;;;;;;;;;https://doi.org/10.1109/TIE.2007.891993;;;IEEE Trans. Ind. Electron.;journals/tie/LiuR07;2020-05-22;;;;;2;1061-1072;;;;;;ZVS Combined Three-Level Converter - A Topology Suitable for High Input Voltage With Wide Range Applications.;;;db/journals/tie/tie54.html#LiuR07;54;2007
147121;Chunhua Liu|Senyi Liu|Yang Xiao|Yongcan Huang;;0000-0001-8878-5639|0000-0001-8927-9674|0000-0001-9335-8869|0000-0002-3105-5448;;;;;;;;;https://doi.org/10.1109/TIE.2021.3053880;;;IEEE Trans. Ind. Electron.;journals/tie/LiuLHX22;2021-11-03;;;;;1;110-120;;;;;;Direct Modulation Pattern Control for Dual Three-Phase PMSM Drive System.;;;db/journals/tie/tie69.html#LiuLHX22;69;2022
149290;Gojko M. Joksimovic|Jim Penman;;;;;;;;;;;https://doi.org/10.1109/41.873216;;;IEEE Trans. Ind. Electron.;journals/tie/JoksimovicP00;2020-05-22;;;;;5;1078-1084;;;;;;The detection of inter-turn short circuits in the stator windings of operating motors.;;;db/journals/tie/tie47.html#JoksimovicP00;47;2000
155133;Asmaa Y. Fathi|Ihab A. El-Khodary|Muhammad Saafan;;;;;;;;;;;https://doi.org/10.18280/ria.350606;oa;;Rev. d'Intelligence Artif.;journals/ria/FathiES21;2022-01-14;;;;;6;483-488;;;;;;A Hybrid Model Integrating Singular Spectrum Analysis and Backpropagation Neural Network for Stock Price Forecasting.;;;db/journals/ria/ria35.html#FathiES21;35;2021
155387;B. H. Lohithashva|D. S. Guru|V. N. Manjunath Aradhya;;;;;;;;;;;https://doi.org/10.18280/ria.340208;oa;;Rev. d'Intelligence Artif.;journals/ria/LohithashvaAG20;2021-02-17;;;;;2;179-187;;;;;;Violent Video Event Detection Based on Integrated LBP and GLCM Texture Features.;;;db/journals/ria/ria34.html#LohithashvaAG20;34;2020
156137;Suhas Govind Joshi|Tone Bratteteig;;;;;;;;;;;http://aisel.aisnet.org/sjis/vol28/iss1/1;;;Scand. J. Inf. Syst.;journals/sjis/JoshiB16;2020-03-02;;;;;1;1;;;;;;Designing for Prolonged Mastery. On involving old people in Participatory Design.;;;db/journals/sjis/sjis28.html#JoshiB16;28;2016
159407;Jafar Najafi Kasalani|Mohsen Farahani|Soheil Ganjefar;;0000-0001-7030-2766;;;;;;;;;https://doi.org/10.3233/IFS-141429;;;J. Intell. Fuzzy Syst.;journals/jifs/FarahaniGK15;2020-04-25;;;;;3;1441-1450;;;;;;Suppression of inter-area oscillations in a multi-machine power system using a new intelligent controller.;;;db/journals/jifs/jifs28.html#FarahaniGK15;28;2015
166034;Gabriel M. Rebeiz|Kwang-Jin Koh;;;;;;;;;;;https://doi.org/10.1109/JSSC.2008.922737;;;IEEE J. Solid State Circuits;journals/jssc/KohR08;2020-08-30;;;;;6;1360-1371;;;;;;An X- and Ku-Band 8-Element Phased-Array Receiver in 0.18-µm SiGe BiCMOS Technology.;;;db/journals/jssc/jssc43.html#KohR08;43;2008
167810;Aurangozeb|Masum Hossain|Nhat Nguyen;;0000-0002-6159-9067;;;;;;;;;https://doi.org/10.1109/JSSC.2019.2923586;;;IEEE J. Solid State Circuits;journals/jssc/HossainAN19;2020-08-30;;;;;10;2833-2844;;;;;;DDJ-Adaptive SAR TDC-Based Timing Recovery for Multilevel Signaling.;;;db/journals/jssc/jssc54.html#HossainAN19;54;2019
167891;Hyo-Eun Kim|Jae-Sung Yoon|Jun-Seok Park|Lee-Sup Kim|Seok-Hoon Kim;;;;;;;;;;;https://doi.org/10.1109/JSSC.2013.2259042;;;IEEE J. Solid State Circuits;journals/jssc/KimPYKK13;2020-08-30;;;;;8;1970-1985;;;;;;A 1 mJ/Frame Unified Media Application Processor With Dynamic Analog-Digital Mode Reconfiguration for Embedded 3D-Media Contents Processing.;;;db/journals/jssc/jssc48.html#KimPYKK13;48;2013
172007;Peter Vandendriessche;;;;;;;;;;;https://doi.org/10.3934/amc.2010.4.405;;;Adv. Math. Commun.;journals/amco/Vandendriessche10;2020-06-08;;;;;3;405-417;;;;;;LDPC codes associated with linear representations of geometries.;;;db/journals/amco/amco4.html#Vandendriessche10;4;2010
181042;C.-C. Jay Kuo|Sanjay Purushotham;;0000-0001-9474-5035;;;;;;;;;https://doi.org/10.1145/2987381;;;ACM Trans. Spatial Algorithms Syst.;journals/tsas/PurushothamK16;2021-10-14;;;;;4;16:1-16:29;;;;;;Personalized Group Recommender Systems for Location- and Event-Based Social Networks.;;;db/journals/tsas/tsas2.html#PurushothamK16;2;2016
181761;Dave Gelders|Øyvind Ihlen;;0000-0002-5001-3796;;;;;;;;;https://doi.org/10.1016/j.giq.2009.05.005;;;Gov. Inf. Q.;journals/giq/GeldersI10;2020-10-26;;;;;1;34-40;;;;;;Minding the gap: Applying a service marketing model into government policy communications.;;;db/journals/giq/giq27.html#GeldersI10;27;2010
186540;Hong Qi|Jiahua Kou|Shaoqin Zhang|Xueqin Mao|Yuhe Li|Zhendong Qiao|Zhenhuan Wu;;0000-0002-4188-2228;;;;;;;;;https://doi.org/10.1109/TMI.2017.2732481|https://www.wikidata.org/entity/Q88660846;;;IEEE Trans. Medical Imaging;journals/tmi/LiQZWMKQ17;2020-06-18;;;;;11;2216-2227;;;;;;A Novel Method for Low-Contrast and High-Noise Vessel Segmentation and Location in Venipuncture.;;;db/journals/tmi/tmi36.html#LiQZWMKQ17;36;2017
192823;Nitin Kumar|U. C. Gupta 0001;;0000-0002-5736-2868;;;;;;;;;https://doi.org/10.1007/s10479-019-03410-z;;;Ann. Oper. Res.;journals/anor/KumarG20;2021-10-14;;;;;1;257-283;;;;;;Analysis of batch Bernoulli process subject to discrete-time renewal generated binomial catastrophes.;;;db/journals/anor/anor287.html#KumarG20;287;2020
193760;Geert-Jan van Houtum|Ronald Buitenhek|W. Henk Zijm;;;;;;;;;;;https://doi.org/10.1023/A%3A1018967622069;;;Ann. Oper. Res.;journals/anor/BuitenhekHZ00;2020-08-13;;;;;1-4;15-40;;;;;;AMVA-based solution procedures for open queueing networks with population constraints.;;;db/journals/anor/anor93.html#BuitenhekHZ00;93;2000
194359;Jiapu Zhang|Jie Sun 0001;;0000-0001-5611-1672;;;;;;;;;https://doi.org/10.1023/A:1012903105391;;;Ann. Oper. Res.;journals/anor/SunZ01;2020-08-13;;;;;1-4;161-173;;;;;;Global Convergence of Conjugate Gradient Methods without Line Search.;;;db/journals/anor/anor103.html#SunZ01;103;2001
195662;Cameron A. MacKenzie|Hiba Baroud|Kash Barker;;0000-0002-0142-1558;;;;;;;;;https://doi.org/10.1007/s10479-014-1696-1|https://www.wikidata.org/entity/Q110743501;;;Ann. Oper. Res.;journals/anor/MacKenzieBB16;2022-03-16;;;;;1;103-129;;;;;;Static and dynamic resource allocation models for recovery of interdependent systems: application to the Deepwater Horizon oil spill.;;;db/journals/anor/anor236.html#MacKenzieBB16;236;2016
196262;Arnaud Fréville|Saïd Hanafi;;;;;;;;;;;https://doi.org/10.1007/s10479-005-3448-8;;;Ann. Oper. Res.;journals/anor/FrevilleH05;2020-08-13;;;;;1;195-227;;;;;;The Multidimensional 0-1 Knapsack Problem - Bounds and Computational Aspects.;;;db/journals/anor/anor139.html#FrevilleH05;139;2005
197797;Agbotiname Lucky Imoize|Augustus Ehiremen Ibhaze|Ayobami T. Akinrelere|Ignatius K. Okakwu;;;;;;;;;;;https://doi.org/10.5539/nct.v4n1p26;oa;;Netw. Commun. Technol.;journals/nct/IbhazeOAI19;2021-03-08;;;;;1;26-35;;;;;;An Intelligent Dispatch System Operating in a Partially Closed Environment.;;;db/journals/nct/nct4.html#IbhazeOAI19;4;2019
201945;Barbara A. Kitchenham|David Budgen|Mark Turner 0001|Pearl Brereton|Stephen G. Linkman|Stuart M. Charters;;0000-0002-6134-8460;;;;;;;;;https://doi.org/10.1049/iet-sen:20060052|https://www.wikidata.org/entity/Q57797687;;;IET Softw.;journals/iee/KitchenhamBBTCL07;2020-09-14;;;;;5;161-171;;;;;;Large-scale software engineering questions expert opinion or empirical evidence?;;;db/journals/iet-sen/iet-sen1.html#KitchenhamBBTCL07;1;2007
203612;Alejandro López|Audberto Reyes-Rosas|Diego L. Valera|Francisco D. Molina-Aiz|Sasirot Khamkure;;0000-0002-0492-4978|0000-0002-5908-7580;;;;;;;;;https://doi.org/10.1016/j.compag.2017.08.020;;;Comput. Electron. Agric.;journals/cea/Reyes-RosasMVLK17;2020-03-27;;;;;;9-28;;;;;;Development of a single energy balance model for prediction of temperatures inside a naturally ventilated greenhouse with polypropylene soil mulch.;;;db/journals/cea/cea142.html#Reyes-RosasMVLK17;142;2017
205777;;;;;;;;;;;;https://doi.org/10.1080/01611194.2017.1343556|https://www.wikidata.org/entity/Q62125832;;;Cryptologia;journals/cryptologia/X17;2019-06-02;;;;;4;289-294;;;;;;David Hamer, family man and enigma expert, remembered and missed.;;;db/journals/cryptologia/cryptologia41.html#X17;41;2017
